Year,Engine_Size,Mileage,Doors,Owner_Count,Model,Brand_BMW,Brand_Chevrolet,Brand_Ford,Brand_Honda,Brand_Hyundai,Brand_Kia,Brand_Mercedes,Brand_Toyota,Brand_Volkswagen,Fuel_Type_Electric,Fuel_Type_Hybrid,Fuel_Type_Petrol,Transmission_Manual,Transmission_Semi-Automatic,Price
0.8695652173912976,0.8,0.9666479951454044,0.33333333333333337,1,24,0,0,0,0,0,1,0,0,0,0,0,0,1,0,8501
0.5217391304347814,0.25,0.017774621401564408,0,0.5,19,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12092
0.8695652173912976,0.8,0.7715839451590747,0.6666666666666666,0.25,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11171
1,0.25,0.5366261894759304,0,0,22,0,0,0,0,0,0,0,0,0,1,0,0,1,0,11780
0.13043478260868824,0.4,0.9555584451957508,0.33333333333333337,0.5,17,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2867
0.30434782608695343,0.42500000000000004,0.5263501843812725,0.6666666666666666,0.75,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7242
0.43478260869564167,0.6,0.46531764925547314,0.33333333333333337,0,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,11208
0.043478260869562746,0.925,0.525036509,0,0.25,26,0,0,0,0,0,1,0,0,0,1,0,0,0,1,7950
0.6086956521739069,0.4,0.32900220724054924,0.33333333333333337,0.75,26,0,0,0,0,0,1,0,0,0,0,1,0,1,0,9926
0.21739130434782794,0.525,0.3590900300744861,0,1,23,0,0,0,0,0,0,0,1,0,0,0,1,1,0,6545
0.5652173913043441,0.075,0.989587293,0,0.5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5863
0.3913043478260789,0.875,0.14260374364001308,0.6666666666666666,0.5,17,0,0,0,0,0,0,0,0,1,0,1,0,1,0,11444
0.30434782608695343,0.95,0.44294849994331864,0.33333333333333337,0.75,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,10842
0.17391304347825098,0.32499999999999996,0.6300671507925394,0,0,11,0,0,0,0,1,0,0,0,0,0,1,0,0,1,4820
